id,line_number,raw_line,reason,logged_at
1,28,"10.0.0.5 - - [10/Jan/2024:00:00:00 -0000] ""GET /missing-status HTTP/1.1""",line does not match expected log format,2026-09-08 07:03:48.015747+00:00
2,75,,blank line,2026-09-08 07:03:48.015747+00:00
3,92,"10.0.0.5 - - [10/Jan/2024:00:00:00 -0000] ""GET /missing-status HTTP/1.1""",line does not match expected log format,2026-09-08 07:03:48.015747+00:00
4,117,"127.0.0.1 - - [BADTIMESTAMP] ""GET /x HTTP/1.1"" 200 123","1 validation error for LogRecord
timestamp
  Value error, unparseable timestamp 'BADTIMESTAMP': time data 'BADTIMESTAMP' does not match format '%d/%b/%Y:%H:%M:%S %z' [type=value_error, input_value='BADTIMESTAMP', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/value_error",2026-09-08 07:03:48.015747+00:00
5,130,"192.168.1.1 - - [10/Jan/2024:00:00:00 -0000] ""WEIRDMETHODONLY"" 200 100",line does not match expected log format,2026-09-08 07:03:48.015747+00:00
6,143,"127.0.0.1 - - [BADTIMESTAMP] ""GET /x HTTP/1.1"" 200 123","1 validation error for LogRecord
timestamp
  Value error, unparseable timestamp 'BADTIMESTAMP': time data 'BADTIMESTAMP' does not match format '%d/%b/%Y:%H:%M:%S %z' [type=value_error, input_value='BADTIMESTAMP', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/value_error",2026-09-08 07:03:48.015747+00:00
7,179,,blank line,2026-09-08 07:03:48.015747+00:00
8,237,"999.999.999.999 - - [10/Jan/2024:00:00:00 -0000] ""GET /x HTTP/1.1"" abc 456",line does not match expected log format,2026-09-08 07:03:48.015747+00:00
9,241,"999.999.999.999 - - [10/Jan/2024:00:00:00 -0000] ""GET /x HTTP/1.1"" abc 456",line does not match expected log format,2026-09-08 07:03:48.015747+00:00
10,306,"127.0.0.1 - - [BADTIMESTAMP] ""GET /x HTTP/1.1"" 200 123","1 validation error for LogRecord
timestamp
  Value error, unparseable timestamp 'BADTIMESTAMP': time data 'BADTIMESTAMP' does not match format '%d/%b/%Y:%H:%M:%S %z' [type=value_error, input_value='BADTIMESTAMP', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/value_error",2026-09-08 07:03:48.015747+00:00
11,322,"10.0.0.5 - - [10/Jan/2024:00:00:00 -0000] ""GET /missing-status HTTP/1.1""",line does not match expected log format,2026-09-08 07:03:48.015747+00:00
12,329,"10.0.0.5 - - [10/Jan/2024:00:00:00 -0000] ""GET /missing-status HTTP/1.1""",line does not match expected log format,2026-09-08 07:03:48.015747+00:00
13,331,"999.999.999.999 - - [10/Jan/2024:00:00:00 -0000] ""GET /x HTTP/1.1"" abc 456",line does not match expected log format,2026-09-08 07:03:48.015747+00:00
14,375,"192.168.1.1 - - [10/Jan/2024:00:00:00 -0000] ""WEIRDMETHODONLY"" 200 100",line does not match expected log format,2026-09-08 07:03:48.015747+00:00
15,376,"999.999.999.999 - - [10/Jan/2024:00:00:00 -0000] ""GET /x HTTP/1.1"" abc 456",line does not match expected log format,2026-09-08 07:03:48.015747+00:00
16,382,"192.168.1.1 - - [10/Jan/2024:00:00:00 -0000] ""WEIRDMETHODONLY"" 200 100",line does not match expected log format,2026-09-08 07:03:48.015747+00:00
17,411,"10.0.0.5 - - [10/Jan/2024:00:00:00 -0000] ""GET /missing-status HTTP/1.1""",line does not match expected log format,2026-09-08 07:03:48.015747+00:00
18,418,"192.168.1.1 - - [10/Jan/2024:00:00:00 -0000] ""WEIRDMETHODONLY"" 200 100",line does not match expected log format,2026-09-08 07:03:48.015747+00:00
19,447,"999.999.999.999 - - [10/Jan/2024:00:00:00 -0000] ""GET /x HTTP/1.1"" abc 456",line does not match expected log format,2026-09-08 07:03:48.015747+00:00
20,494,this is not a log line at all,line does not match expected log format,2026-09-08 07:03:48.015747+00:00
21,496,,blank line,2026-09-08 07:03:48.015747+00:00
22,518,this is not a log line at all,line does not match expected log format,2026-09-08 07:03:48.015747+00:00
23,519,"127.0.0.1 - - [BADTIMESTAMP] ""GET /x HTTP/1.1"" 200 123","1 validation error for LogRecord
timestamp
  Value error, unparseable timestamp 'BADTIMESTAMP': time data 'BADTIMESTAMP' does not match format '%d/%b/%Y:%H:%M:%S %z' [type=value_error, input_value='BADTIMESTAMP', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/value_error",2026-09-08 07:03:48.015747+00:00
24,580,,blank line,2026-09-08 07:03:48.282807+00:00
25,605,"127.0.0.1 - - [BADTIMESTAMP] ""GET /x HTTP/1.1"" 200 123","1 validation error for LogRecord
timestamp
  Value error, unparseable timestamp 'BADTIMESTAMP': time data 'BADTIMESTAMP' does not match format '%d/%b/%Y:%H:%M:%S %z' [type=value_error, input_value='BADTIMESTAMP', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/value_error",2026-09-08 07:03:48.282807+00:00
26,633,"999.999.999.999 - - [10/Jan/2024:00:00:00 -0000] ""GET /x HTTP/1.1"" abc 456",line does not match expected log format,2026-09-08 07:03:48.282807+00:00
27,656,"127.0.0.1 - - [BADTIMESTAMP] ""GET /x HTTP/1.1"" 200 123","1 validation error for LogRecord
timestamp
  Value error, unparseable timestamp 'BADTIMESTAMP': time data 'BADTIMESTAMP' does not match format '%d/%b/%Y:%H:%M:%S %z' [type=value_error, input_value='BADTIMESTAMP', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/value_error",2026-09-08 07:03:48.282807+00:00
28,658,,blank line,2026-09-08 07:03:48.282807+00:00
29,715,"127.0.0.1 - - [BADTIMESTAMP] ""GET /x HTTP/1.1"" 200 123","1 validation error for LogRecord
timestamp
  Value error, unparseable timestamp 'BADTIMESTAMP': time data 'BADTIMESTAMP' does not match format '%d/%b/%Y:%H:%M:%S %z' [type=value_error, input_value='BADTIMESTAMP', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/value_error",2026-09-08 07:03:48.282807+00:00
30,778,"10.0.0.5 - - [10/Jan/2024:00:00:00 -0000] ""GET /missing-status HTTP/1.1""",line does not match expected log format,2026-09-08 07:03:48.282807+00:00
31,920,this is not a log line at all,line does not match expected log format,2026-09-08 07:03:48.282807+00:00
32,948,"10.0.0.5 - - [10/Jan/2024:00:00:00 -0000] ""GET /missing-status HTTP/1.1""",line does not match expected log format,2026-09-08 07:03:48.282807+00:00
33,950,this is not a log line at all,line does not match expected log format,2026-09-08 07:03:48.282807+00:00
34,952,,blank line,2026-09-08 07:03:48.282807+00:00
35,1028,"192.168.1.1 - - [10/Jan/2024:00:00:00 -0000] ""WEIRDMETHODONLY"" 200 100",line does not match expected log format,2026-09-08 07:03:48.282807+00:00
36,1032,,blank line,2026-09-08 07:03:48.282807+00:00
37,1045,,blank line,2026-09-08 07:03:48.473430+00:00
38,1125,,blank line,2026-09-08 07:03:48.473430+00:00
